4256 14:49:23 X:-0.188 Y:+0.072 T:+11.6.
4294 14:49:24 X:-0.048 Y:+0.064 T:+11.6.
4332 14:49:24 X:-0.159 Y:+0.069 T:+11.6.
4370 14:49:25 X:-0.143 Y:+0.070 T:+11.6.
4402 14:49:25 X:-0.057 Y:+0.065 T:+11.6.
4440 14:49:25 X:-0.180 Y:+0.071 T:+11.6.
4478 14:49:26 X:-0.055 Y:+0.064 T:+11.6.
4516 14:49:26 X:-0.142 Y:+0.069 T:+11.6.
4554 14:49:27 X:-0.133 Y:+0.069 T:+11.6.
4592 14:49:27 X:-0.092 Y:+0.067 T:+11.6.
4630 14:49:27 X:-0.180 Y:+0.073 T:+11.6.
4668 14:49:28 X:-0.054 Y:+0.066 T:+11.6.
4706 14:49:28 X:-0.148 Y:+0.069 T:+11.6.
4744 14:49:29 X:-0.094 Y:+0.067 T:+11.6.
4782 14:49:29 X:-0.137 Y:+0.069 T:+11.6.
4820 14:49:29 X:-0.107 Y:+0.066 T:+11.6.
4858 14:49:30 X:-0.120 Y:+0.067 T:+11.6.
4896 14:49:30 X:-0.151 Y:+0.071 T:+11.6.
4931 14:49:31 X:-0.064 Y:+0.065 T:+11.6.
4968 14:49:31 X:-0.143 Y:+0.070 T:+11.6.
5006 14:49:31 X:-0.102 Y:+0.069 T:+11.6.
5044 14:49:32 X:-0.119 Y:+0.071 T:+11.6.
5082 14:49:32 X:-0.120 Y:+0.070 T:+11.6.
5112 14:49:33 X:-0.170 Y:+0.073 T:+11.6.
5193 14:49:34 X:-0.104 Y:+0.070 T:+11.6.
5231 14:49:34 X:-0.062 Y:+0.068 T:+11.6.
5269 14:49:35 X:-0.174 Y:+0.075 T:+11.6.
5307 14:49:35 X:-0.035 Y:+0.068 T:+11.6.
5344 14:49:36 X:-0.193 Y:+0.077 T:+11.6.
5382 14:49:36 X:-0.071 Y:+0.071 T:+11.6.
5420 14:49:36 X:-0.116 Y:+0.073 T:+11.6.
5458 14:49:37 X:-0.162 Y:+0.076 T:+11.6.
5496 14:49:37 X:-0.039 Y:+0.069 T:+11.6.
5534 14:49:38 X:-0.209 Y:+0.079 T:+11.6.
5572 14:49:38 X:-0.036 Y:+0.070 T:+11.6.
5610 14:49:38 X:-0.175 Y:+0.077 T:+11.6.
5648 14:49:39 X:-0.108 Y:+0.074 T:+11.6.
5686 14:49:39 X:-0.090 Y:+0.072 T:+11.6.
5724 14:49:40 X:-0.173 Y:+0.078 T:+11.6.
5762 14:49:40 X:-0.031 Y:+0.070 T:+11.6.
5800 14:49:40 X:-0.208 Y:+0.080 T:+11.6.
5838 14:49:41 X:-0.119 Y:+0.074 T:+11.6.
5876 14:49:41 X:-0.042 Y:+0.071 T:+11.6.
5914 14:49:42 X:-0.168 Y:+0.078 T:+11.6.
5952 14:49:42 X:-0.032 Y:+0.071 T:+11.6.
5990 14:49:42 X:-0.167 Y:+0.078 T:+11.6.
6025 14:49:43 X:-0.081 Y:+0.075 T:+11.6.
6063 14:49:43 X:-0.112 Y:+0.076 T:+11.6.
6101 14:49:44 X:-0.115 Y:+0.075 T:+11.6.
6139 14:49:44 X:-0.103 Y:+0.077 T:+11.6.
6177 14:49:45 X:-0.127 Y:+0.077 T:+11.6.
